pair,init_seed,noise_seed,perturb_site,short_lam,peak_hamming,time_to_peak,final_hamming,synchronized,arch,model,model_tag,window,temp,L,steps,absorbing,freq_penalty
0,3,11,1,0.3919367769911437,45.0,25,2.0,0,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
1,5003,5011,8,0.4785801745611369,48.0,12,48.0,0,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
2,10003,10011,15,0.4785801745611369,47.0,9,5.0,0,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
3,15003,15011,22,1.2458898727611227,42.0,3,0.0,1,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
4,20003,20011,29,0.42514967270776943,48.0,11,47.0,0,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
5,25003,25011,36,0.40726206725268527,41.0,26,0.0,1,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
6,30003,30011,43,0.3863803066697895,42.0,11,0.0,1,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
7,35003,35011,2,0.4812684502137573,48.0,10,0.0,1,masked,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,,1.0,48,80,0,0.0
0,3,11,1,0.4546982699657982,48.0,65,47.0,0,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
1,5003,5011,8,0.41197960825054114,44.0,45,6.0,0,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
2,10003,10011,15,0.0,1.0,0,0.0,1,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
3,15003,15011,22,0.46051701859880917,10.0,5,0.0,1,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
4,20003,20011,29,0.27465307216702745,31.0,28,16.0,0,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
5,25003,25011,36,0.24323876863191415,26.0,49,22.0,0,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
6,30003,30011,43,0.34657359027997264,30.0,17,0.0,1,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
7,35003,35011,2,0.42091197874830927,47.0,60,46.0,0,local,huggingface/CodeBERTa-small-v1,CodeBERTa-small-v1,2,1.0,48,80,0,0.0
